"id","updatedAt","createdAt","deletedAt","userId","projectId","title","description","status","priority","dueDate","assigneeId","order","isStarred"
"019c279a-1a49-775c-b73c-2fa8b89fa43b","2026-02-04T07:42:16.650Z","2026-02-04T07:42:16.650Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","When uploading a document, check whether the document has already be uploaded previously and notify the user.","Imported from ClickUp

Original URL: https://app.clickup.com/t/8685ffwz5","done","medium",,,"1000","0"
"019c279a-1b17-7202-a53f-dfe6104e8ce0","2026-02-04T07:42:16.855Z","2026-02-04T07:42:16.855Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Change Flatpickr to react-datepicker","Imported from ClickUp

Original URL: https://app.clickup.com/t/86869m1bj","in-progress","medium",,,"1000","0"
"019c279a-1bbe-706d-8582-468cfb681a5f","2026-02-04T07:42:17.022Z","2026-02-04T07:42:17.022Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Replace all direct `indexDocument` calls with a queue job to prevent memory issues","Imported from ClickUp

Original URL: https://app.clickup.com/t/86865gpeh","backlog","medium",,,"1000","0"
"019c279a-1c64-772e-b1f6-e1d33c670283","2026-02-04T07:42:49.488Z","2026-02-04T07:42:17.189Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Allow designating a user as org admin","Imported from ClickUp

Original URL: https://app.clickup.com/t/8686gt2uh","todo","medium",,,"1000","0"
"019c279a-1d09-73ac-a4c4-23dcbdcb8454","2026-02-04T07:42:56.918Z","2026-02-04T07:42:17.354Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Annotations Rule: If multiple page annotations captured, use the first one","Imported from ClickUp

Original URL: https://app.clickup.com/t/8686hg3q1","backlog","medium",,,"87000","0"
"019c279a-1db5-71da-9d6f-565c0a40ffb0","2026-02-04T07:48:26.802Z","2026-02-04T07:42:17.525Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","BUG: Clicking the Hand tool in LabelStudio doesn't allow for the tool to work on the first try","Imported from ClickUp

Original URL: https://app.clickup.com/t/8686hg58p","in-progress","medium",,,"2000","0"
"019c279a-1e68-758b-908c-f2a6e519eee1","2026-02-04T07:42:17.704Z","2026-02-04T07:42:17.704Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","[Vanta] Remediate ""Firewall default disallows traffic (GCP)""","Imported from ClickUp

Original URL: https://app.clickup.com/t/86877gy3d","backlog","medium",,,"5000","0"
"019c279a-1f0d-76eb-9460-faaabc3d73ce","2026-02-04T07:48:27.764Z","2026-02-04T07:42:17.869Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Update Website to handle error code from API for new check formats / checks requiring OCR","Imported from ClickUp

Original URL: https://app.clickup.com/t/863gnkyt3","todo","medium",,,"2000","0"
"019c279a-1fb8-759c-a039-77b34622db51","2026-02-04T07:48:38.194Z","2026-02-04T07:42:18.040Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","DESIGN ISSUE: Parties alignment needs updates","Imported from ClickUp

Original URL: https://app.clickup.com/t/868chdhh9","backlog","medium",,,"88000","0"
"019c279a-2066-753b-8eb3-c481da39b0da","2026-02-04T07:42:18.214Z","2026-02-04T07:42:18.214Z",,"019c25bf-2c88-7317-a971-da87c8c8eebb","019c2785-c6c5-70cb-b572-b529dbbd0424","Add a way to cancel drawing a bounding box (Esc, or click outside the drawable area)","Imported from ClickUp

Original URL: https://app.clickup.com/t/8686gt1f8","backlog","medium",,,"8000","0"
